X,Y,pk_uid,uuid,road,carriagew0,lane,km,wegvak,bearing,wegbeheer0
4.58403342483635,51.8663548442121,12461,"0f152e5e-b902-4835-a5f8-0d0b845958fe",A16,L,2,26.050000,600112603,313.459680,RWS West-Nederland Zuid
5.09091790079514,51.9838683836584,12462,c0bc84bc-1bfd-4ba2-be91-3e29714e4199,A2,L,5,73.358000,600126323,310.871940,RWS Midden-Nederland
4.88666889539614,52.3379496578107,12463,7d6b50c6-eb83-41fd-a4f0-658bb333d1ae,A10,L,2,18.100000,238366001,114.383160,RWS West-Nederland Noord
4.2656353707132,51.9004048193008,12464,314578b4-2828-42ec-a615-74234b451e7e,A24,L,1,4.570000,601061979,19.197612,RWS West-Nederland Zuid
5.36536516599913,51.5511611078342,12465,e357e87f-2e34-4593-8184-f155c28ff6e9,A2,L,1,134.960000,600135237,328.002680,RWS Zuid-Nederland
6.04108104721559,52.4946304011364,12466,a3a12194-a3f1-4fb0-af39-2fe07a7330e2,A28,L,4,86.740000,600146949,244.230320,RWS Oost-Nederland
4.99518736295953,52.1550148106336,12467,9e578ddf-6e69-4eaa-b4d8-1f8941387d68,A2,L,1,51.627000,600125828,337.279820,RWS Midden-Nederland
5.22157688938584,52.242394713101,12468,8849977a-830b-455f-a5cf-2ab0df552d02,A1,L,3,27.947000,600472565,312.665580,RWS West-Nederland Noord
4.87303906136334,52.0699261819665,12469,e26b7557-9e01-440a-abfb-9f68ee61339c,A12,L,3,43.450000,600123195,270.692780,RWS Midden-Nederland
5.17249225389061,51.9213433805637,12470,"0aa3040e-c0b6-45d0-bf72-ad31fa2ac7c8",A2,L,4,82.350000,600128539,328.166840,RWS Midden-Nederland
5.1219952893419,51.9575665116707,12471,9d312e7e-b567-42b8-b630-05333fd2ec32,A2,L,5,77.000000,600127796,325.327110,RWS Midden-Nederland
5.07528018954084,52.0873195592604,12472,69aed037-dddb-4020-8b69-4391ecb92457,A2,L,3,61.306000,600127264,348.560350,RWS Midden-Nederland
5.3061879884933,52.384445661897,12473,6ba6560d-b47e-4be1-b2ec-35312965c8f4,A6,L,1,58.175000,600200399,238.266260,RWS Midden-Nederland
4.23932590106913,51.8992601061394,12474,"0464e185-1f90-40c9-bd58-95c2507b6622",A15,L,2,37.800000,600100881,287.780950,RWS West-Nederland Zuid
5.0178714115815,52.3325206676795,12475,a3bdb6b9-0328-45e9-aafb-9ec240e10398,A1,L,3,9.030000,600126098,270.610080,RWS West-Nederland Noord
6.0156982221551,51.1801109542171,12476,f12c8acc-44ec-433d-9c74-dab13f642118,A73,L,2,16.913000,600147789,222.767410,RWS Zuid-Nederland
5.39115900424116,52.1332110544291,12477,8c01a6cd-c9f1-49d0-95af-daf0a40ae52e,A28,L,4,17.775000,601324161,254.966370,RWS Midden-Nederland
6.56913561531257,53.2043351788843,12478,9ce89505-8fd2-44d7-bd18-67aefc4f4086,A28,L,1,200.455000,601253608,250.021660,RWS Noord-Nederland
4.31999289977883,51.9180760515714,12479,365b92f0-396e-432c-bfdb-179eef7e3d4e,A20,L,1,20.250000,600105161,282.657860,RWS West-Nederland Zuid
5.5294205682153,51.3642582914441,12480,9f76108d-24cf-4a11-b972-aa48fa2baca8,A2,L,2,174.740000,600137633,329.300540,RWS Zuid-Nederland
5.34178522811565,51.5963864467721,12481,754ad2e0-a6a6-4847-9b08-838607eef2b6,A2,L,2,129.480000,600135101,322.116840,RWS Zuid-Nederland
4.94386501410631,51.8313634957768,12482,2539498d-7239-43ce-a716-6a98b2cf86a2,A27,L,1,35.110000,600124478,192.710710,RWS West-Nederland Zuid
5.03335676114426,51.9555699847357,12483,38331042-f7fc-42de-8214-8eac070c3246,A27,L,1,50.740000,600125189,265.303210,RWS West-Nederland Zuid
4.9742268806721,52.3755162295859,12484,3503bf69-e84e-4b5e-bed3-78d15d5c9686,A10,L,2,8.700000,600280123,359.442880,RWS West-Nederland Noord
4.78958059502776,51.8262966559177,12485,1d89efb9-6ed7-4062-8f14-c5a67483c613,A15,L,1,84.010000,600121793,281.868100,RWS West-Nederland Zuid
5.3468494805146,51.7078455782742,12486,b52dfb82-ab41-4205-9568-ea0e54e8a8cd,A2,L,2,114.420000,600136013,332.540190,RWS Zuid-Nederland
4.36830391551701,52.0552214359498,12487,3556d83b-84e0-497b-b083-fbd0121c5d00,A13,L,2,3.520000,169303067,28.382635,RWS West-Nederland Zuid
4.66067917216875,52.4476063514724,12488,a3ca482b-f3fa-4697-a5ac-504e23222cf3,A22,L,1,10.220000,210392048,154.879160,RWS West-Nederland Noord
5.71073024736292,52.0186143138564,12489,6bf7e7ed-f524-4fae-a553-872450126031,A12,L,2,113.320000,600963181,234.340680,RWS Oost-Nederland
6.14485010407502,52.2252266456632,12490,d5844403-851b-48df-8d36-6887c16e5c5a,A1,L,3,96.925000,600148753,236.187060,RWS Oost-Nederland
5.73446076984677,50.8764956812398,12491,28900033-21bf-4994-8670-c1f0dff6fc36,A2,L,2,252.526000,358041023,21.001287,RWS Zuid-Nederland
5.25042642468365,52.1048395394047,12492,7afb57d8-2369-4c0a-a7be-3c5e0436795b,A28,L,3,7.575000,600128573,260.868130,RWS Midden-Nederland
4.27920519285072,51.9066315916123,12493,20f5b64a-4b25-46f5-8a13-013421d39555,A24,L,3,3.300000,601061968,80.359125,RWS West-Nederland Zuid
6.08514311973819,52.5177463165436,12494,77e413d1-001f-479c-ae03-ff1728267e4a,A28,L,1,93.688000,600146251,230.619950,RWS Oost-Nederland
4.22938074315354,51.9004573743357,12495,1bf85e13-9654-40cf-a48a-11728e4e8c10,A15,L,3,37.098000,600100881,270.317840,RWS West-Nederland Zuid
4.81108363738114,52.3162349894872,12496,9bf79358-79b1-487b-aa40-93d28d4aa966,A9,L,2,31.615000,231362010,148.683500,RWS West-Nederland Noord
5.32026992705293,52.2162821671983,12497,5649118b-c21d-4957-bef7-52f65f6f5b3d,A1,L,2,35.585000,600134717,286.864760,RWS Midden-Nederland
4.6398970472179,51.8124969612867,12498,ccc2e3a4-8fad-44e3-82a8-c60ce8106c40,A16,L,1,33.354000,600279264,291.976180,RWS West-Nederland Zuid
5.28093234229729,52.2235198896362,12499,4da3eb16-addc-4763-9a6d-e297369da68c,A1,L,2,32.770000,600134379,274.630260,RWS Midden-Nederland
5.07508101251092,52.0779953748587,12500,e6cd646b-078e-4ae7-b0eb-4aef538742ae,A2,L,5,62.352000,600127264,10.199492,RWS Midden-Nederland
4.80407638517687,52.4647895659079,12501,d5542eaf-a6b3-4b64-b4bf-db4bf52ba810,A8,L,1,8.185000,230395015,110.431370,RWS West-Nederland Noord
4.74122778366518,51.8324532317304,12502,5cdbcd36-9844-438a-a78b-e72c280d867b,A15,L,1,80.600000,600121249,293.320460,RWS West-Nederland Zuid
5.21104476055543,52.2533203795753,12503,"0b8b68ba-5cee-4821-9dec-62539261bed4",A1,L,2,26.515000,600128126,339.757600,RWS West-Nederland Noord
5.20322959290177,52.0607642493648,12504,8abd0818-6471-4602-8c93-5470ea1e372a,A12,L,4,66.960000,600129658,280.636410,RWS Midden-Nederland
4.53864716885311,51.926747978944,12505,d7923184-d79b-4d75-9392-38a8b0e4c22d,A16,L,2,18.200000,600115165,7.863676,RWS West-Nederland Zuid
5.41514745765145,51.5048695636238,12506,6b28da22-442f-435b-8051-9558933d1544,A2,L,2,141.170000,600138954,319.787850,RWS Zuid-Nederland
6.71516875713871,52.302422567587,12507,6c2ab9b8-69c0-42ea-994f-d85e3bd7a170,A35,L,1,53.100000,600151073,313.582470,RWS Oost-Nederland
5.88169340713253,51.1218525583383,12508,c17f1c56-3dd8-4434-9f6e-def6658b25c7,A2,L,1,221.820000,377095006,51.513103,RWS Zuid-Nederland
5.0717874299333,52.0102072854955,12509,ef771b02-4925-4801-8953-1acd39bf7a61,A2,L,3,70.080000,600126412,341.128510,RWS Midden-Nederland
5.18917588077388,52.0623609406299,12510,93066611-40e6-45ea-95f6-bf0d9c726389,A12,L,3,65.980000,600129658,278.329330,RWS Midden-Nederland
5.38770628398034,51.5289611796977,12511,7481c39a-1f6c-4d72-a0a8-3b18a2ccf959,A2,L,1,137.880000,600135238,325.959180,RWS Zuid-Nederland
4.93946893912255,52.5223222397846,12512,6caa4ae5-e193-407d-9f90-267d7d0ae667,A7,L,1,15.798000,600124168,220.019150,RWS West-Nederland Noord
5.32026992705293,52.2162821671983,12513,c18109d1-004c-417f-868e-37838f9492d0,A1,L,1,35.585000,600134717,286.864760,RWS Midden-Nederland
4.78299108241367,51.8269433696765,12514,604b3822-cd2e-49f4-a6aa-6ac50f82ba70,A15,L,2,83.550000,600121793,279.944020,RWS West-Nederland Zuid
4.96073464341729,52.3045210413573,12515,"025a7be1-2a22-4021-9936-df8f8bbf7b8f",A9,L,2,9.770000,600448990,57.538406,RWS West-Nederland Noord
4.51757928011528,51.8647068686027,12516,b9270a1d-f9d8-427c-bab9-17ebe0a26056,A29,L,1,10.390000,190261043,340.572850,RWS West-Nederland Zuid
4.59241189178277,52.1812112322866,12517,d928d719-8f0a-4fbf-8ec4-6480294a28b3,A4,L,2,25.950000,197329007,55.253056,RWS West-Nederland Zuid
4.84238344396193,52.3579903625274,12518,2d080184-e348-4dae-9063-69c5a94f77ba,A10,L,3,23.350000,235372087,179.397600,RWS West-Nederland Noord
4.71740306649998,52.5176789449466,12519,640cbede-d579-4bcd-afd4-f4026346d9cc,A9,L,3,59.260000,600119746,205.251290,RWS West-Nederland Noord
5.88169340713253,51.1218525583383,12520,4abc9192-8b86-4052-8fde-7dbd908dd72a,A2,L,4,221.820000,377095006,51.513103,RWS Zuid-Nederland
4.89126713309408,52.0699429657324,12521,c5b18a64-9526-49ff-be3c-aa45ca9ae8d0,A12,L,1,44.700000,600123195,265.914060,RWS Midden-Nederland
4.99762637452189,52.3343277026243,12522,"0b763384-da6f-4155-80cb-fe377dfd8581",A1,L,3,7.597000,600125886,295.449980,RWS West-Nederland Noord
4.50845653443111,51.9673124075987,12523,"07a0c8a3-cd16-4d48-872d-b3a7dfb1812c",A16,L,2,13.050000,601304131,310.024110,RWS West-Nederland Zuid
4.87960177092364,52.0699089731021,12524,4c91083e-a67d-4800-9561-d17708d9c353,A12,L,2,43.900000,600123195,270.688230,RWS Midden-Nederland
4.82811402584191,52.3919236034834,12525,23e46508-555d-4866-a522-91c7cd240758,A5,L,1,16.763000,600219401,270.264700,RWS West-Nederland Noord
4.6789391919227,52.2546847408047,12526,63780f1c-bef0-41d5-9edf-927b2ce01651,A4,L,5,15.749000,212347001,41.869379,RWS West-Nederland Noord
6.22518188407828,52.2376804547243,12527,30b652f9-b169-45be-9a54-92a661dd5ae3,A1,L,3,107.650000,600961699,263.818670,RWS Oost-Nederland
4.21955652379625,51.9006682178846,12528,979cc0d5-2bd0-4a1d-9f4a-9862c6b9d240,A15,L,3,36.418000,600100881,286.201430,RWS West-Nederland Zuid
5.87364399117161,50.9380331666497,12529,36cb8c78-703a-4599-a5c5-ca5fdc1499c2,A76,L,1,9.700000,600144012,302.931730,RWS Zuid-Nederland
5.14669374820885,52.3296119095788,12530,e1928047-1396-4fd4-a74c-9d2bc1cf635b,A6,L,2,45.055000,600129875,230.860180,RWS Midden-Nederland
4.38930763718714,52.0571170446775,12531,31d10341-de6c-4627-bd0a-5e29dae4b67b,A12,L,2,7.420000,600104824,299.927060,RWS West-Nederland Zuid
5.09766789127365,51.5353082492308,12532,1ca40d2d-ee65-465a-b962-8015f1be5416,A58,L,3,36.800000,263188003,79.026898,RWS Zuid-Nederland
4.62690892395235,51.8229474270804,12533,c8c0eb6a-e91b-41f4-8ee1-9d41ae3a13aa,A16,L,3,31.805000,600112703,342.668870,RWS West-Nederland Zuid
4.64861460956981,51.7702872064474,12534,f094d970-1ce0-420b-805a-f65334f19081,A16,L,1,38.730000,207240010,8.486790,RWS West-Nederland Zuid
6.60000691985232,52.2854214916467,12535,d1947e74-af64-43f6-9b01-80bb43773ec0,A1,L,2,134.385000,600150863,253.957610,RWS Oost-Nederland
4.39759443405544,52.0742908629013,12536,61613d81-03e2-4302-8111-4c3cf13d8592,A4,L,3,44.010000,171306023,59.836138,RWS West-Nederland Zuid
5.03432172681021,52.3309885357768,12537,"06008951-705c-4d06-af0b-967d0799a977",A1,L,6,10.175000,262365004,285.411420,RWS West-Nederland Noord
